WastewaterCounts,Hospitalizations
102120.866,90
100207.5552,95
33557.376,94
31599.7248,94
17916.016,77
16551.12,78
10478.4336,82
12337.56,97
26844,112
79457.288,123
24951.7328,133
24404.1904,127
51147.696,117
30376.5632,136
22310.5632,151
32214.5696,171
101660.6176,170
71177.2224,185
144716.9904,210
492930.6272,227
430183.3328,274
464072.808,331
752938.832,349
792354.008,382
710360.3392,418
656676.5952,408
757011.4384,436
734773.208,461
1139660.2848,475
1232752.9376,526
1508186.6032,527
1475541.7536,528
1084801.8048,569
1203051.7136,613
1218275.5488,655
976596.2352,678
1207442.248,708
1171616.3888,738
1372105.0064,760
1832523.456,778
1613444.2272,793
2210640.6304,764
1410009.8944,747
1152230.9904,744
1410449.6304,725
790931.9792,713
726473.96,669
894801.9616,659
1328620.5072,615
1471993.5264,578
1209915.89,582
1156260.23,575
926750.9,559
996479.61,544
860963.99,527
534279.45,501
668470.16,453
348017.92,437
444817.68,434
1024890.8096,405
848239.0448,379
807123.5872,338
350234.3984,356
352651.0016,347
526196.3056,319
522684.57,313
217169.51,315
349599.15,317
194910.92,303
369876.9,293
208195.82,280
369247.2704,315
439444.656,311
353046.5056,314
380141.28,304
579461.2928,305
543224.5504,283
311193.3504,253
190505.1936,240
417463.6544,247
321418.3536,245
209340.5616,245
309237.6704,275
560883.3648,280
296245.816,317
379142.9696,357
649295.9664,381
290915.04,364
628079.104,421
441621.5552,494
1817558.8688,507
1102727.808,535
463000.232,590
379855.2336,572
1620409.0976,609
489029.8848,599
861837.3824,577
1869069.47,537
1506107.82,524
1179656.45,461
1248044.94,436
524615.81,380
539361.37,367
571431.74,332
254710.03,280
184007.71,253
103119.16,234
93566.9,210
150894.8,166
87722.2,150
14692.26,136
73268.3,107
40128.65,104
23983.86,98
16668.01,90
46568.03,87
17520.25,93
20814.97,81
17608.02,62
11011.46,55
30712.62,45
26797.54,58
10990.06,45
18223,49
24333.31,50
41171.23,44
16029.52,52
16357.09,36
11032.36,31
23730.7,40
46256.92,49
11237.57,45
14906.17,38
13298.02,36
12535.77,35
52448.1,45
32605.3,51
15015.29,44
8009.07,42
20415.97,45
33106.25,55
36123.56,58
85335.09,62
34000.64,67
126152.59,65
48396.75,79
56701.98,94
104949.47,82
229102.86,86
162709.9,96
262925.69,105
339825.15,116
247463.93,80
185089.03,102
213620.56,126
81796.8,119
121478.97,129
301000.39,140
101039.41,129
259296.3,136
